Date,Brent_Crude_USD_per_bbl,Bunker_Oil_Index_2016_100
2015-M09,47.62,221.50
2015-M10,48.43,225.40
2015-M11,44.27,206.10
2015-M12,38.01,176.80
2016-M01,30.70,142.90
2016-M02,32.18,149.80
2016-M03,38.21,177.80
2016-M04,41.58,193.50
2016-M05,46.74,217.60
2016-M06,48.25,224.60
2016-M07,45.07,209.80
2016-M08,45.84,213.40
2016-M09,46.57,216.80
2016-M10,49.52,230.50
2016-M11,45.26,210.70
2016-M12,53.31,248.20
2017-M01,54.58,254.10
2017-M02,55.05,256.30
2017-M03,51.59,240.20
2017-M04,52.31,243.50
2017-M05,50.33,234.30
2017-M06,46.37,215.80
2017-M07,48.48,225.60
2017-M08,51.70,240.60
2017-M09,56.21,261.60
2017-M10,57.51,267.70
2017-M11,62.71,291.90
2017-M12,64.37,299.70
2018-M01,69.08,321.60
2018-M02,65.11,303.10
2018-M03,66.02,307.30
2018-M04,71.64,333.50
2018-M05,76.98,358.40
2018-M06,75.94,353.50
2018-M07,74.41,346.40
2018-M08,72.53,337.60
2018-M09,78.89,367.20
2018-M10,81.03,377.20
2018-M11,65.33,304.10
2018-M12,56.46,262.80
2019-M01,59.41,276.50
2019-M02,63.96,297.70
2019-M03,66.36,308.80
2019-M04,71.21,331.40
2019-M05,70.30,327.20
2019-M06,63.04,293.40
2019-M07,63.92,297.50
2019-M08,59.04,274.80
2019-M09,62.33,290.10
2019-M10,59.37,276.30
2019-M11,62.74,292.10
2019-M12,67.03,312.10
2020-M01,63.67,415.20
2020-M02,55.44,350.10
2020-M03,32.01,210.45
2020-M04,18.38,152.40
2020-M05,29.38,202.10
2020-M06,40.27,252.10
2020-M07,43.24,275.40
2020-M08,44.74,285.30
2020-M09,40.91,260.10
2020-M10,40.19,255.40
2020-M11,43.23,280.10
2020-M12,49.99,310.25
2021-M01,54.85,320.15
2021-M02,62.01,350.40
2021-M03,65.41,370.20
2021-M04,64.81,365.10
2021-M05,68.53,385.20
2021-M06,73.16,410.10
2021-M07,75.17,420.30
2021-M08,70.75,400.10
2021-M09,74.49,425.20
2021-M10,83.54,480.10
2021-M11,81.05,465.10
2021-M12,74.38,430.20
2022-M01,86.51,485.60
2022-M02,97.13,540.10
2022-M03,117.46,650.30
2022-M04,104.58,580.10
2022-M05,113.34,630.20
2022-M06,122.71,680.10
2022-M07,111.93,620.40
2022-M08,100.45,560.10
2022-M09,89.76,500.10
2022-M10,93.33,520.10
2022-M11,91.42,510.40
2022-M12,81.44,450.20
2023-M01,82.50,410.25
2023-M02,82.59,410.40
2023-M03,78.43,390.10
2023-M04,84.64,420.10
2023-M05,75.47,375.40
2023-M06,74.84,372.10
2023-M07,80.11,400.10
2023-M08,86.15,430.40
2023-M09,93.72,465.10
2023-M10,91.05,452.10
2023-M11,82.94,412.30
2023-M12,77.63,385.40
2024-M01,80.32,445.18
2024-M02,83.48,460.10
2024-M03,85.41,472.35
2024-M04,89.94,490.12
2024-M05,82.98,455.40
2024-M06,82.57,452.15
2024-M07,85.26,468.90
2024-M08,73.20,452.10
2024-M09,71.40,440.50
2024-M10,75.30,465.10
2024-M11,72.15,445.20
2024-M12,74.50,430.25
2025-M01,71.20,420.15
